Date,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
1995-01-01,91448.98487,50460.2266,93284.51832,64958.09036,71306.56698,81671.47692,120932.8881,69158.16225,79885.89069,72514.69096,62300.10169,61296.52637,124902.8602,76287.56947,84769.52599,68000.13774,73834.82964,72231.70537,92516.48557,182694.8326,80875.84843,67770.98843,60491.26109,82070.6133,53539.31919,72189.58437,109326.1245,67885.20344,71536.97357,59865.18995,61319.44913,88559.04381,133025.2772
1995-02-01,82202.77314,51085.77983,93190.16963,64787.92069,72022.26197,81657.55944,119508.8622,68951.09542,80897.06551,73155.19746,60993.26863,63187.08332,122087.718,78901.21036,83396.10525,69393.51294,75031.0696,71051.55852,94342.37334,182345.2463,81230.13524,65381.51908,60869.27091,79982.74872,53153.88306,72141.6261,111103.0394,64799.0648,70893.20851,62318.53353,60252.12246,88641.01678,131468.3096
1995-03-01,79120.70256,51268.96956,92247.52435,64367.49344,72015.76274,81449.31143,120282.2131,68712.44341,81379.86288,72190.44144,61377.83464,63593.29935,120635.9467,78521.94855,83416.23759,69368.02407,74188.66949,72097.99411,93465.86407,182878.8231,81111.48848,66336.51868,60288.03002,80661.68279,53458.26393,72501.35502,107325.4742,65763.29719,70306.83844,63938.67686,60871.08493,87124.81523,132260.3417
1995-04-01,77101.20804,53133.50526,90762.87492,64277.66881,72965.63094,81124.41227,120097.899,68610.04641,82188.90498,71442.92235,61927.7246,65139.64403,121424.6241,79545.57477,83567.88439,69444.26215,73911.40591,71890.28339,93344.49305,184176.9168,81672.80476,66388.7716,59471.03136,79990.54333,54479.75395,72228.60295,106875,63073.62117,69411.9439,66233.19383,60971.39722,87026.00225,133370.2036
1995-05-01,84409.14932,53042.24852,90258.00033,63997.13588,73704.04743,81542.61561,119929.2782,68844.9169,82077.05525,70630.77955,63512.99103,66193.99212,124433.539,79374.0349,83853.65615,68534.52248,73117.12416,72877.47219,94346.39917,191474.1141,82123.51084,69035.11076,58551.38387,80873.98643,55803.95958,72366.64122,107707.6799,64420.49933,69759.21989,66432.85846,61494.16938,86518.05945,133911.1117
1995-06-01,94900.51244,53700.34831,90107.23471,64252.32335,74310.48167,82382.83435,121887.4625,69052.51103,81630.66181,71348.31147,64751.56404,66921.17101,126175.1513,79956.3621,84173.24689,68464.60664,74005.00585,72331.08116,97428.94311,197265.7602,82205.66822,68881.15764,58041.43543,80704.92667,56067.76986,72279.4325,112865.0542,64155.81449,70125.24728,66232.16372,61547.79643,88114.3351,134562.1941
1995-07-01,110128.0423,52113.12157,91441.24768,63722.70055,74127.03788,82898.52264,124027.5768,69142.48112,82352.2226,71837.54011,65486.34112,68390.753,124381.5134,80746.34881,84226.69844,68680.83996,74671.13263,73717.78844,98976.14077,197963.3169,82525.793,69608.72242,58126.37811,81055.90335,55458.31693,72880.83974,114656.6011,67024.74767,70789.57284,64692.22672,61933.52738,89830.58934,133450.2162
1995-08-01,112329.4376,52232.19868,92361.31512,64432.60005,73547.0411,82054.37156,125529.8039,68993.42545,82706.65927,72237.94562,65076.43195,68096.79385,123625.3196,81217.69074,84430.61796,69023.36482,74967.86534,74479.94802,98951.20791,198037.4218,83342.84552,68840.02827,58151.3154,80781.09186,54709.35467,73275.16891,112320.4096,65525.94434,69958.41918,63472.27558,61916.4222,90560.68078,136581.5082
1995-09-01,104473.1096,51471.61353,93273.12245,64509.54767,73789.54287,81440.43008,120596.8511,69393.50023,82011.08271,71725.22104,63996.81525,68752.50284,123094.0484,82142.89052,83606.97863,68108.186,73843.55239,74426.6609,99582.63778,197047.8333,85110.96835,70155.81997,58742.99034,80824.70075,54585.50364,73204.02373,110424.5703,63467.00948,69937.40214,62177.59435,61548.15206,91373.6984,135993.0705
1995-10-01,108038.1181,51513.7576,92567.38498,64529.93725,73264.05385,81862.16087,117458.4922,68934.61234,80522.66054,72349.13744,63405.26599,67619.65052,123442.56,81791.48237,82492.72882,67425.63891,72992.50159,73643.14027,97580.38673,200005.8308,85726.97473,69616.18689,58073.14016,79569.22895,54789.55504,72917.47147,108406.7006,60885.98483,69963.76558,62066.45135,60572.57036,90246.40944,134513.3863
1995-11-01,117635.614,50848.67787,90883.16125,63846.0337,72782.00528,82557.7755,115418.8396,68879.74634,79272.34618,71987.86869,63744.02999,67237.62827,121930.0435,81129.55891,82245.73461,66181.79433,71760.09266,73047.37035,95030.46517,199674.9633,84557.41994,68054.24621,58074.62011,79912.78215,54323.96316,72393.65468,109129.876,61725.34542,70608.37527,62414.27583,61543.0786,89476.01779,131740.7854
1995-12-01,127232.4459,50945.18535,91133.89545,63816.94239,72523.66937,82966.33012,118739.0147,68407.14924,79699.68509,72390.76252,64105.07001,65864.67386,122722.7071,81327.1995,82054.42111,66747.26272,72745.82284,73499.04742,91095.43508,200722.0684,83584.37637,67199.22587,57700.33538,79580.82347,54521.07385,72587.48626,108566.7583,62394.11278,70204.68906,63985.91194,61389.99541,88478.32853,133394.3919
1996-01-01,108998.6449,50828.11236,91111.0059,63995.98809,72806.34981,82210.29215,119560.4787,68006.00735,80214.26526,71544.17955,62417.08225,66327.29116,126913.6659,81677.24807,83215.70112,67346.84621,72868.75596,73376.75316,89406.19881,198311.884,82561.00187,68779.89129,57838.30409,81276.64211,54375.56794,72860.51487,111173.6582,65752.93541,70031.19539,67551.52087,62059.57219,89091.88568,133843.1065
1996-02-01,93356.69814,51440.74603,92429.53023,64503.65692,73084.06255,81418.50542,123370.7927,68031.99343,80836.42097,71070.19192,61713.58637,66988.24734,129462.9145,83072.90266,83764.50392,68749.02309,74778.2455,73082.11156,89930.2568,195949.6001,84364.56842,72306.1872,58273.89866,80460.39552,55117.37979,73535.22956,112960.6376,67876.03255,69290.69004,71069.89695,61589.40272,89094.98005,136229.4608
1996-03-01,93706.70087,51907.0727,91409.82097,64787.98353,72779.77274,81633.34294,124722.9955,68269.86869,81011.37535,71544.14097,62475.35483,67706.86999,134456.94,82827.76927,84304.89319,68851.79462,74650.27248,71602.79082,90157.795,197476.6295,84655.84753,71762.01901,58482.96053,80063.35166,55012.36778,73850.30963,114699.521,68867.26701,69732.27564,69637.53256,61695.20307,90460.7968,132809.6802
1996-04-01,120542.7871,51724.02571,92394.18958,65285.91687,72369.71621,81480.63573,129158.517,68897.631,81041.0616,72517.3322,64644.68179,67061.78846,131883.6783,83631.18089,84108.82158,68377.31553,75171.04265,71630.09888,94201.35982,201218.2139,86285.08696,71664.03223,59520.18907,82033.54911,54700.51295,74676.48488,114881.3497,69598.08269,69485.02452,66727.03737,61466.51965,90408.27366,134668.1595
1996-05-01,112050.079,51735.7298,91058.91069,65080.67179,72994.82811,82372.45739,135335.591,68831.80146,81821.0188,73630.49938,66461.74834,66986.24782,130970.0502,84139.18163,84738.3242,68156.21512,74453.72079,72828.58776,97260.34402,202340.568,85939.13308,71386.2398,60172.77171,83677.77538,54650.53206,74310.75475,117000.2218,68910.19217,70838.08611,65601.77826,61074.7762,91533.11758,133050.9281
1996-06-01,114226.1868,50761.40069,91978.18792,65119.76321,73497.60498,82946.43168,143861.8155,69051.78199,82562.44356,74158.31871,66510.44078,69123.68176,128463.7615,84690.43109,85387.18072,68488.37037,74620.87186,74539.27162,99609.63121,199343.0172,87986.89677,73469.03398,60283.51267,84550.90024,54390.23111,74998.49054,117604.1678,70412.70159,71883.73349,67436.63385,61424.66713,92090.01945,138851.7403
1996-07-01,97546.65538,50621.10709,92444.08611,65150.6446,75551.18229,84088.81418,147974.3469,69400.43237,84005.37856,74456.07162,65526.49861,70784.93589,131196.0086,84659.05793,86061.03349,69236.16276,75308.81623,75036.69207,100537.8473,207443.2875,87524.89278,73808.53164,60186.67898,82609.13618,54977.35475,75513.91485,119030.3207,70234.89257,72810.40208,69424.36092,62046.54581,93214.73083,139436.2849
1996-08-01,114178.9615,51104.69052,95515.95779,65960.19797,76913.7402,84400.03483,142462.0703,70479.67191,84824.40871,75285.77528,65992.51913,71789.16717,133758.175,84154.1376,85976.69565,69853.5195,76169.59137,73860.85514,100571.9899,209217.9359,88157.9415,72820.0375,59695.10434,82862.21295,55883.88446,77111.07023,117525.3044,70407.54139,72523.91397,69860.25921,62662.12489,95215.68994,144182.117
1996-09-01,108138.3441,51892.72348,97489.86119,66500.64639,78667.10643,84675.93463,136551.9635,70696.54123,85674.20765,75748.77992,66181.32483,71817.39646,133457.531,83729.81677,87202.93762,70791.57926,76585.85868,74747.13788,99715.22275,220387.6829,88161.56851,72935.2652,60732.64866,84807.65047,57311.64104,77309.76851,118812.7827,70906.17687,72292.71824,72295.63471,62669.00474,94932.19811,142222.7681
1996-10-01,98934.21106,52533.15395,97844.45732,66659.34408,77990.86703,85513.19393,133849.8141,71406.06065,85595.16688,75933.60471,67116.22167,71158.3135,133291.5458,85168.58277,87899.43106,71004.33084,77179.90201,73999.21897,100372.2844,217285.7007,89015.4087,72306.72265,60855.31474,87510.35065,57467.47905,76938.5566,120263.8016,70748.01475,72617.38218,73388.00095,62781.00866,94304.7602,144136.5247
1996-11-01,99706.77553,52216.03501,97155.03363,66353.75731,77914.21008,85780.9011,134128.2872,71397.85758,86230.20914,75976.54678,66593.04598,71090.30711,133748.0657,87006.16423,88481.07033,70650.74929,78116.21706,75191.01495,100404.4021,223196.6723,89552.01675,73356.05471,61186.60115,89153.55339,57501.08422,76479.3222,121754.2219,73855.99726,73947.02684,74419.47098,62947.52843,92964.3123,143427.3084
1996-12-01,106426.6463,53853.51494,97174.30405,66486.43605,78261.57998,86049.25961,134749.1828,72097.39337,86863.01741,76878.71444,66608.87666,70137.58277,136939.9198,89258.49955,89979.82154,70669.57624,79137.69415,76746.27799,102669.2648,213709.1269,90008.73099,74736.54857,61411.3757,88982.89727,57576.11585,76719.49065,121988.6045,73837.84795,74370.59186,73724.56661,63710.50127,93929.69127,147407.0456
1997-01-01,116343.2632,54459.03334,98558.78015,67350.5639,79663.96056,86846.01416,135956.305,72165.21818,88091.72778,77692.81047,68146.84926,69886.28088,138214.074,90471.17203,90164.45318,71622.27285,80553.81709,78299.6068,106085.4534,225230.5126,91652.06923,78248.38246,61488.22197,89454.52289,58373.65014,78162.76204,122724.672,73821.8393,75080.01504,74438.93564,64070.415,95748.3628,150842.1118
1997-02-01,111142.2413,55451.49402,100075.9014,67981.17513,81213.21719,88200.87039,141531.3329,72207.30315,89942.45673,78080.72181,67836.16562,70505.5123,137048.5675,90605.59637,91896.67919,73210.72638,81021.25847,77534.9236,108099.7272,230873.4392,92613.02844,79063.79157,62431.81122,90557.28121,58607.59745,79163.92555,124771.0563,71982.0262,74760.03786,80440.91184,64742.94445,98998.83134,153230.9007
1997-03-01,107487.7721,55004.76789,101129.8775,67823.81417,82321.88962,89764.82321,143444.3378,72229.55884,91027.37975,78402.23689,69325.6866,72209.75027,136632.8635,91015.96226,92394.16997,73757.41701,81682.8008,77908.11126,111170.4498,237079.33,93820.27656,79199.36351,63214.02592,91744.1526,58996.43113,79278.23247,127129.5913,73292.4844,76246.59417,82804.20458,65097.48885,101248.381,158272.8337
1997-04-01,108480.1265,55279.86088,101200.7949,68470.50929,82770.99914,90000.43422,143591.5462,73527.90356,91990.80742,79603.50479,69273.80485,76011.08555,139931.8886,90862.02722,94334.32375,74404.64419,81307.99958,81008.1963,112635.1099,238468.1384,94919.41432,77778.47916,63626.70963,93017.10467,59361.94521,79358.60583,128897.1142,75551.36351,76417.26384,87751.34404,65569.18369,103282.7881,161636.5158
1997-05-01,115453.1138,54936.9351,103286.5603,69353.47883,82729.65023,91229.56812,148617.0414,74829.547,93697.20059,81700.68624,71221.26647,79503.11816,146513.9726,92975.96753,95984.42384,74400.21785,82644.70115,84064.16017,114851.3453,236535.0296,97263.02468,81000.31758,64256.55872,93983.83401,59410.79608,80729.60677,130648.4521,78891.67852,78807.26003,85915.848,66495.93598,106244.3684,166046.2486
1997-06-01,118316.6328,55286.72367,104609.4868,70764.08885,83876.3417,92199.34293,148335.7944,76819.0714,95818.78571,83858.80646,70853.77562,80359.21735,151782.3441,93538.78808,97209.60762,74568.38337,84253.66592,84383.39687,116420.93,247302.9243,97628.35529,85372.24139,64964.10944,95283.22323,60191.55424,82488.91405,134408.9819,81802.20867,80212.77699,88145.90013,67370.8607,109284.7887,164894.0678
1997-07-01,117033.8026,55658.87201,107234.5467,71129.78026,87636.90775,94716.82773,148941.2504,78689.69449,99751.94013,85030.06071,72558.49877,80580.05732,153057.0243,96822.43749,100146.5168,75664.50382,86570.80152,85576.55952,117486.3282,254978.1498,100235.157,91999.4251,66950.36612,97283.27185,60571.21405,83540.0995,137950.8798,81759.33454,82549.17343,87751.30025,69362.81013,113113.6055,165480.7739
1997-08-01,113584.7062,56506.703,108730.391,72140.73159,90164.00975,96754.45712,145623.1106,80606.28193,102077.9271,86408.53516,73572.00324,80279.49014,158848.2227,95977.55391,102722.1714,76927.23437,88004.97706,86594.31905,118041.4591,257691.2946,101607.3894,91971.93563,68312.67708,98365.11961,62037.99664,84854.95841,140246.3129,83842.47999,83354.21329,87896.9027,70329.95983,112449.2006,168253.9965
1997-09-01,115159.3603,56306.31587,112379.6415,72830.32449,91472.63674,98919.99794,151747.9797,81653.11032,105118.8094,86688.35274,75518.63875,82295.46248,163908.7854,99361.99215,105601.6549,79095.31717,89719.78786,88804.60764,118745.3281,256336.2238,104933.6503,92522.25602,68943.81795,98849.22926,62700.32317,86034.24468,143957.1197,85517.53731,84292.65991,88180.06804,71027.92977,113409.7001,172825.2405
1997-10-01,121251.0481,57200.18147,114515.3287,73378.75239,92208.16012,100215.6359,157898.3,82352.21971,105477.2725,87915.05833,75960.1728,82126.1487,166851.3911,100146.7939,106770.5877,79892.49324,90590.92991,88643.07204,119594.986,251862.5204,105335.1477,89224.11949,69317.93773,97625.62669,63548.3956,87904.9903,146080.4521,86214.42205,85648.68832,88054.57008,70871.08845,112444.7479,174358.0075
1997-11-01,131074.4707,57575.30439,115356.0573,73619.60183,92895.46532,100902.9988,167188.5124,83177.46458,105041.7812,87987.786,75272.89721,83134.8796,164069.5936,101849.3913,107852.6922,80399.34177,91871.96527,90148.80355,121457.047,258397.7953,107889.3236,91412.89947,69404.65406,99428.42215,63680.755,88281.16984,150440.2566,82746.60488,87380.61339,88188.35019,71401.73132,115120.6116,175551.9834
1997-12-01,130034.7709,58024.95607,115520.8603,74630.0585,94035.60983,100945.2859,168839.3037,83833.86644,105633.8062,89944.71103,75273.48534,81230.59515,163820.1194,101530.4919,108717.537,80642.265,93142.60539,91462.53937,122034.1156,265111.884,110385.3726,93056.58501,70897.45838,102798.7207,64175.9051,90666.1641,152620.3633,81288.22231,88380.14065,89546.41759,72405.08185,115954.8919,173978.4143
1998-01-01,124381.6148,57558.99414,115902.4103,76863.45528,93745.96395,102341.8156,169012.4852,84643.16497,107575.4833,90495.67166,76900.21665,83515.567,168222.0656,101023.9582,108855.964,81340.31193,93723.73662,93427.63419,122748.8011,269224.2088,112996.0019,96231.45089,72381.58751,105282.8206,64961.94355,91621.73448,152270.2341,82410.03945,89866.18326,90192.38381,73502.90459,119265.1816,179527.4694
1998-02-01,143828.6637,57360.29869,116995.4628,78064.88327,95171.47554,103543.2009,162344.7432,85365.35841,107332.4804,91921.17166,78918.99039,82417.10251,172033.6807,101655.3074,108952.5279,82785.40514,93383.37553,96346.58987,124116.6519,270628.5649,111798.9802,97302.40413,73372.60307,104418.5072,65451.51267,93396.15006,151211.0605,83945.66175,89954.4784,90683.74357,73700.49996,119030.187,180294.0688
1998-03-01,156508.2157,57908.48029,118866.196,79062.28462,96096.7542,104597.2887,163828.6465,85751.42749,107112.1728,91816.80512,79751.09715,84204.15339,174467.6528,103783.4818,110597.7821,82751.68392,93128.96742,96430.67124,124789.5969,264999.8907,109701.5037,96672.19281,73597.98553,105516.8248,65551.62465,92292.11215,150025.6809,85932.1826,90571.90928,91784.67146,73231.02042,121699.7177,189293.2482
1998-04-01,163402.8902,59196.02788,120486.5344,78422.86937,97848.77001,105239.6534,165652.1276,86036.81002,107300.8502,92143.45271,79995.56344,83175.7664,175880.4012,105380.7945,111934.3634,84098.2193,94828.45564,98461.80011,127269.0876,270215.771,109780.9888,97598.21307,74803.48355,106269.9632,65690.36984,92631.21125,153490.3543,89015.48435,89855.9391,94495.86884,72767.4846,124438.8967,194817.1302
1998-05-01,143625.206,60355.84269,122608.2135,79408.29987,100109.0644,105759.5103,169049.2294,86236.19345,110006.241,91518.29109,81288.3011,86573.06588,173619.8542,108352.5028,114375.4039,85046.51812,96743.32596,98010.46848,131978.0428,273275.3314,112487.1288,99377.87622,75873.68173,108041.1812,66605.47302,92893.38039,154920.0253,89632.15871,90466.00519,96080.49193,73939.5839,127831.8535,197805.981
1998-06-01,132250.9156,60582.93705,122490.3424,80321.9015,101399.6815,107198.021,172582.2902,86840.06321,112667.4168,91219.02635,82753.47695,87176.06887,173110.2892,109314.2871,114889.4685,86703.14877,98079.02358,100370.3542,139643.1506,277600.1701,116419.9699,104806.5059,76541.32466,108641.7747,67631.18149,95027.90216,158948.719,93385.73881,91130.2304,97172.85172,76353.06816,126163.2208,191820.8258
1998-07-01,140377.131,60412.34826,124040.4073,81579.53387,102924.8097,108989.3867,175848.1101,88132.51635,113802.8082,92697.16575,82867.53523,91550.1418,176247.7371,110176.9416,118111.2235,87048.75903,98351.63701,100864.3551,143692.6592,272128.251,118317.2778,107921.217,77547.52892,108646.6771,68413.45201,95613.46889,160232.4131,93502.98798,92124.8674,96482.13421,77311.59634,126027.8808,188999.0374
1998-08-01,148993.1355,60837.40862,125041.4702,81775.03169,103239.8434,111457.0034,176576.4944,89330.61998,114530.7984,94160.27775,82799.25262,89590.38219,182845.6366,111525.8531,118585.5961,87174.31634,99459.13826,102691.7089,143530.718,271068.2653,120298.2667,109637.0368,77655.03236,111213.2329,69054.59979,95984.22602,165706.4991,95488.40856,92559.77087,98577.24248,77016.15142,126715.3236,186698.035
1998-09-01,152806.8225,61485.08509,125320.3496,82217.15755,104173.9979,112709.4413,173334.9723,90928.19214,114786.0953,95473.58518,82748.30484,92145.91463,183796.0678,110683.4918,119231.5023,86823.05447,100097.3168,103553.156,141481.0846,266527.4243,120943.0724,108289.4932,78308.12659,110274.0896,69124.70151,95691.57316,170784.0947,93807.03902,93302.68552,98086.69599,76473.76142,130162.6257,195118.6135
1998-10-01,162019.7074,62005.10759,125719.0786,82767.38679,104398.8145,112592.3065,172384.517,91165.3496,114190.2717,95077.10624,82373.95764,88622.63034,177413.1984,110846.9561,117105.0566,86774.53214,100998.4359,103557.0817,137819.9591,262418.9082,121774.4158,107015.5039,75820.90405,110666.451,69596.72716,96575.53827,178760.7612,94680.31192,94598.75891,99342.02547,76936.93106,128481.8043,196666.6553
1998-11-01,152387.1579,62239.78472,125086.4722,83837.91893,104826.9114,112196.6123,174582.4394,91461.19439,114159.8157,94976.67065,83126.8212,91616.14533,174443.9522,108926.558,117228.9275,87507.60515,101277.1837,102069.8973,137651.5711,255844.1315,121897.5123,106181.7414,75227.54675,109273.9571,69397.83664,96240.32723,180444.4459,96759.26284,95132.9044,100981.6977,77341.53595,128840.5708,196670.3204
1998-12-01,155801.2742,63487.53798,125756.6791,83263.52712,104374.9985,112814.0055,173071.6319,91827.85595,112653.422,94863.4677,84871.68318,93847.49131,172010.5192,107368.0689,117471.185,89171.50142,102041.991,101169.1191,135066.3567,266270.5485,120382.1116,107115.792,75338.81507,108352.782,70575.82682,96205.1258,178678.5042,98302.97736,95480.81832,104182.1897,78115.15176,126224.4243,188672.0143
1999-01-01,149142.8994,64531.66938,126189.4276,83063.70909,105461.3404,112544.0149,170960.9458,91178.99822,112914.4883,94831.15226,86685.01105,99488.82028,178178.6213,107522.9387,118610.9583,89520.90708,102147.1398,101233.8036,135270.4037,278268.6998,119772.5896,106119.1048,77527.50009,109273.6564,69438.7051,96338.45919,174889.3833,100114.5479,94888.05567,107464.1761,78116.81294,126280.2113,188601.2156
1999-02-01,164544.6832,64165.8862,127016.6776,82927.91202,105818.0386,111888.5703,173480.4206,91101.93464,113766.5971,95081.97694,86117.38491,98975.67719,177829.7989,108704.3147,119072.196,89272.00414,101773.7044,102182.0486,137960.8842,289467.3431,118098.4886,107158.0285,79266.54324,109397.4444,70158.69633,97153.94034,171215.8946,102573.3104,94864.45412,105112.6677,78645.34854,122987.2323,198480.7717
1999-03-01,174586.171,63528.08617,126902.3843,83333.72827,107528.0421,112486.4897,178877.0672,91471.33754,115214.6477,95550.53917,85174.92212,98491.78391,181256.143,109969.252,120272.7461,88939.34854,102525.2535,102926.5373,142814.6664,285638.3561,119696.6733,106659.4971,79578.68251,114816.3224,69459.01834,98313.08503,169589.8601,104235.1355,94881.49949,102997.8002,78934.46227,127450.4524,205497.3901
1999-04-01,191157.4832,63579.89636,127883.2693,84266.87941,106234.4577,114994.19,182926.019,93440.24484,118843.7142,97457.06275,84726.53857,98420.39522,183110.968,111510.253,121329.4816,90144.75583,103632.411,104553.4418,149721.828,283232.0402,121127.9169,109745.573,80440.16818,116423.617,70790.78396,99209.01804,168780.4258,104883.5665,95454.7897,101336.462,79754.05358,130610.2869,208212.9237
1999-05-01,191080.7478,64508.34516,129392.9587,84513.45483,106088.9911,117944.1576,180780.8725,94894.81499,121735.4401,99421.89328,87080.856,100035.9125,188008.6471,114015.805,121248.7812,91041.71551,105696.4078,107062.0321,152447.4692,291011.3718,124602.2814,112373.6232,81886.84758,119216.2104,71397.01627,100042.5872,170751.6349,103566.1204,96907.92768,105612.8097,80973.04768,139288.7534,207511.1226
1999-06-01,185993.3245,64704.17565,132607.9049,85021.16597,107313.2284,119895.0819,185845.242,96008.04479,124015.3308,101264.7233,88406.19994,102700.8069,194147.3378,117649.5675,122935.1127,92572.48711,107687.9564,110970.4989,154914.7597,300774.1865,127259.9905,112866.5968,84096.27271,120264.1358,73247.28922,101167.3207,173667.4258,102709.9969,99178.92661,109233.2668,81739.34545,143190.6281,207263.5862
1999-07-01,164056.0744,64920.77432,136102.2428,85713.33686,110806.5127,121699.1351,191808.2772,96700.41949,126197.8919,102426.7393,90490.55968,104317.0992,200248.3928,122747.5611,124985.7097,93170.6294,109614.1977,114020.7544,155871.9906,309698.1948,130427.4338,117304.6699,84692.59136,122196.8031,74419.65726,101993.0637,179380.5595,104362.5796,101022.5828,113502.3562,83838.59501,151140.9621,212331.709
1999-08-01,160904.9707,65385.34756,139740.7827,86489.10314,114279.3645,123500.9798,198649.9996,97742.28378,130341.4857,104177.7503,91884.72776,108551.7064,206928.8117,127102.0855,129397.6477,93854.92983,110657.0927,117900.617,161064.2445,317394.0918,133295.8181,120469.7261,86544.41251,125513.7151,75708.39044,103991.6376,185242.2339,110011.6305,102594.2252,115474.3019,84740.1338,157423.9909,215078.0483
1999-09-01,166192.6431,66003.11935,143596.1099,88718.62985,117069.9944,125782.1161,203512.7099,99322.76296,134669.2584,105624.291,94542.34941,110406.6943,212564.778,132071.6651,132088.8173,94553.88447,112081.1071,119390.8922,166651.8979,333917.5663,136296.0455,125138.4596,87576.39885,128105.8626,77254.30418,105368.7241,190022.6258,119479.5317,103960.421,120785.8869,86955.00402,161456.5635,226465.2183
1999-10-01,163490.4727,66367.31665,145287.1569,90657.2974,119229.4377,128022.3164,206707.2423,101977.2522,137399.5158,107849.115,96498.99566,112403.135,215274.5925,130915.8931,135108.278,95635.81339,114177.9343,119750.1402,169146.2627,341201.5355,139655.146,125678.1757,90084.25567,130653.9724,79288.98619,107811.8203,192255.3715,125224.2837,105846.7423,122838.3781,88550.84072,161755.1097,227556.5408
1999-11-01,175142.6311,67344.39063,147825.43,92721.99578,122662.6488,129997.6211,209299.6266,104761.5907,138554.743,109730.4823,98617.41384,114772.1785,221981.5646,128755.8788,136750.9775,97259.15619,116884.0302,121084.0258,170172.3445,352619.7127,141564.9415,126668.2958,91595.22714,132578.9819,80777.81284,110838.5044,200453.7839,124126.3637,108951.7771,125415.2705,91421.1657,160897.3194,234439.6353
1999-12-01,169308.6414,68812.20586,149509.8001,93905.37822,123397.5813,131735.4819,210239.946,107480.1901,141686.9951,110428.1981,100324.6216,117831.4215,227284.507,130036.3449,138450.2126,98706.45402,120227.8142,123809.1406,171040.0973,354241.2991,144567.1014,129213.7502,93052.8266,134375.7494,82366.16022,113057.247,205018.6366,121923.4802,111886.363,126650.0963,92190.24552,161596.2072,237074.2685
2000-01-01,173738.4667,71079.19356,153676.0556,94978.46681,126784.8196,133997.0007,217699.6002,109118.7895,144352.3335,111688.6219,102410.6488,121135.2211,229464.5665,133952.8418,141115.0485,100713.9531,120742.0645,128285.0144,174119.3667,355950.9678,146959.3154,132007.1435,95724.54458,137687.1182,83681.28856,115192.7868,209937.2174,121969.9041,115039.8984,128200.41,93974.98547,165375.682,241773.074
2000-02-01,174151.8041,72633.03953,156796.7398,96820.1285,129605.3054,137628.5057,228163.1022,110940.7332,145283.6423,112876.9895,102030.3704,122281.3806,229606.1254,136421.6352,143046.4402,102533.0983,122780.6898,129267.7549,177760.8095,352515.7481,151118.432,135769.8021,98810.20865,141816.41,85462.24118,116131.791,207133.6579,130271.7703,116907.2959,128809.5421,94468.87661,170409.3309,249505.0267
2000-03-01,178338.5158,73623.57292,159938.6457,98306.41584,134098.1282,141093.8229,230540.5577,111888.8009,146462.5362,116372.6487,101218.0611,121356.4981,233873.4993,138334.5517,145376.5455,104182.0172,123504.0359,130506.0226,180996.1106,360877.7181,153882.9533,136644.8887,101880.3303,145379.7642,86723.45882,118107.128,210007.4803,132454.2041,117684.3508,130069.4355,96776.00623,176525.7685,249858.2695
2000-04-01,183100.9126,73800.30431,162987.5883,99377.57806,137261.2245,144533.5694,239658.6642,114685.9777,149700.6891,118217.0664,104054.6118,123167.5593,244243.7797,141692.543,146687.3951,106342.7445,127248.9728,132159.5164,187454.237,376492.6887,158072.41,142636.1797,104421.1253,148308.5539,88975.54112,119154.792,217530.9973,134806.3033,119786.7092,136083.9964,99080.81048,183066.3744,261213.2996
2000-05-01,175040.6662,75125.95318,165737.2084,101274.2597,140112.5848,147555.8823,248815.1545,117832.1169,153333.8744,120935.1833,107370.6475,127912.2354,246592.8504,143565.9994,150697.8745,108520.0571,129652.3683,133955.4269,191387.7848,382489.1883,161339.185,145227.5782,103960.3523,151026.4259,90940.58913,122802.9383,225530.5391,133379.7436,123844.207,142125.9316,102386.5888,184200.2187,260799.9231
2000-06-01,198191.0327,76939.36185,169025.204,102653.9181,142654.4912,150427.1432,261772.9433,120123.5561,155190.7038,122880.5094,111237.1122,135188.8229,245883.6384,148610.3178,153953.3292,110771.2341,131651.2225,138854.2187,195606.0529,372276.1716,164611.2628,149817.7407,107434.7414,152342.9983,93271.84687,123672.629,232298.2988,137528.4437,128893.1352,146212.7317,104172.6444,187474.6247,266372.5999
2000-07-01,214852.4149,78868.70986,170520.83,104526.3002,143702.3954,151437.7355,264646.5189,121235.1846,156898.7331,124835.4155,113783.8342,138909.0242,244307.0028,151038.6975,156711.3489,111484.2475,133752.9613,141802.564,201103.3448,384497.3933,165708.1954,148316.909,108335.802,156829.4245,95877.34713,126565.5184,232119.0528,142871.4433,130589.2735,146150.92,105134.8551,190074.8183,262936.6578
